ID,LIMIT_BAL,PAY_0
1,20000.0,2
2,120000.0,-1
3,90000.0,0
4,50000.0,0
5,50000.0,-1
6,50000.0,0
7,500000.0,0
8,100000.0,0
9,140000.0,0
10,20000.0,-2
11,200000.0,0
12,260000.0,-1
13,630000.0,-1
14,70000.0,1
15,250000.0,0
16,50000.0,1
17,20000.0,0
18,320000.0,0
19,360000.0,1
20,180000.0,1
21,130000.0,0
22,120000.0,-1
23,70000.0,2
24,450000.0,-2
25,90000.0,0
26,50000.0,0
27,60000.0,1
28,50000.0,0
29,50000.0,-1
30,50000.0,0
31,230000.0,-1
32,50000.0,2
33,100000.0,0
34,500000.0,-2
35,500000.0,-2
36,160000.0,-1
37,280000.0,0
38,60000.0,0
39,50000.0,1
40,280000.0,-1
41,360000.0,0
42,70000.0,0
43,10000.0,0
44,140000.0,0
45,40000.0,0
46,210000.0,-2
47,20000.0,0
48,150000.0,0
49,380000.0,-1
50,20000.0,0
51,70000.0,1
52,100000.0,0
53,310000.0,-2
54,180000.0,1
55,150000.0,2
56,500000.0,-2
57,180000.0,0
58,180000.0,0
59,200000.0,-1
60,400000.0,0
61,500000.0,0
62,70000.0,0
63,50000.0,2
64,50000.0,0
65,130000.0,-1
66,200000.0,-2
67,10000.0,2
68,210000.0,2
69,130000.0,1
70,20000.0,2
71,80000.0,-1
72,320000.0,2
73,200000.0,-1
74,290000.0,1
75,340000.0,-1
76,20000.0,0
77,50000.0,-1
78,300000.0,-1
79,30000.0,0
80,240000.0,1
81,470000.0,0
82,360000.0,0
83,60000.0,0
84,400000.0,0
85,50000.0,0
86,160000.0,0
87,360000.0,-1
88,160000.0,0
89,130000.0,0
90,20000.0,2
91,200000.0,2
92,280000.0,-1
93,100000.0,-2
94,160000.0,-1
95,60000.0,0
96,90000.0,0
97,360000.0,-1
98,150000.0,0
99,50000.0,0
100,20000.0,0
101,140000.0,-2
102,380000.0,-2
103,480000.0,0
104,50000.0,0
105,60000.0,2
106,70000.0,-1
107,80000.0,-1
108,350000.0,-1
109,130000.0,0
110,360000.0,1
111,330000.0,0
112,50000.0,0
113,280000.0,2
114,100000.0,0
115,50000.0,0
116,30000.0,-1
117,240000.0,-1
118,80000.0,2
119,400000.0,-1
120,240000.0,0
121,50000.0,2
122,450000.0,1
123,110000.0,1
124,310000.0,2
125,20000.0,0
126,20000.0,1
127,200000.0,0
128,180000.0,0
129,50000.0,0
130,60000.0,3
131,30000.0,1
132,240000.0,1
133,420000.0,0
134,330000.0,0
135,30000.0,0
136,240000.0,0
137,150000.0,0
138,210000.0,0
139,50000.0,-1
140,50000.0,0
141,240000.0,1
142,180000.0,-1
143,50000.0,1
144,170000.0,-2
145,20000.0,-1
146,50000.0,0
147,170000.0,0
148,200000.0,1
149,80000.0,1
150,260000.0,1
151,140000.0,0
152,80000.0,0
153,350000.0,1
154,280000.0,0
155,30000.0,0
156,140000.0,0
157,200000.0,0
158,200000.0,0
159,210000.0,2
160,50000.0,3
161,30000.0,2
162,50000.0,2
163,290000.0,-1
164,250000.0,0
165,60000.0,0
166,110000.0,0
167,370000.0,-2
168,100000.0,-1
169,90000.0,0
170,50000.0,0
171,270000.0,0
172,300000.0,-1
173,50000.0,-1
174,50000.0,1
175,360000.0,1
176,130000.0,1
177,80000.0,-2
178,50000.0,1
179,20000.0,0
180,80000.0,0
181,240000.0,-1
182,80000.0,0
183,500000.0,0
184,60000.0,0
185,20000.0,0
186,100000.0,1
187,360000.0,1
188,200000.0,2
189,130000.0,1
190,20000.0,1
191,310000.0,0
192,60000.0,2
193,180000.0,-1
194,180000.0,-1
195,50000.0,0
196,50000.0,1
197,150000.0,-2
198,20000.0,0
199,500000.0,-2
200,30000.0,1
201,180000.0,-2
202,140000.0,0
203,140000.0,-1
