resultado_id;medalla;deportista_id;juego_id;evento_id
1;NA;1;39;1
2;NA;2;49;2
3;NA;3;7;3
4;Gold;4;2;4
5;NA;5;36;5
6;NA;5;36;6
7;NA;5;38;5
8;NA;5;38;6
9;NA;5;40;5
10;NA;5;40;6
11;NA;6;38;7
12;NA;6;38;8
13;NA;6;38;9
14;NA;6;38;10
15;NA;6;40;7
16;NA;6;40;11
17;NA;6;40;9
18;NA;6;40;10
19;NA;7;38;7
20;NA;7;38;8
21;NA;7;38;9
22;NA;7;38;10
23;NA;7;40;7
24;NA;7;40;11
25;NA;7;40;9
26;NA;7;40;10
27;NA;8;13;12
28;NA;8;13;13
29;NA;9;44;14
30;NA;10;19;15
31;NA;11;32;11
32;NA;12;43;16
33;NA;13;41;17
34;NA;13;43;17
35;NA;14;40;18
36;NA;15;6;19
37;NA;15;6;20
38;Bronze;15;7;19
39;Bronze;15;7;20
40;NA;15;9;19
41;Bronze;16;50;14
42;Bronze;17;17;21
43;Gold;17;17;22
44;NA;17;17;23
45;Gold;17;17;24
46;NA;17;17;25
47;NA;17;17;26
48;NA;17;17;27
49;Gold;17;17;28
50;NA;17;19;21
51;Bronze;17;19;22
52;NA;17;19;23
53;NA;17;19;24
54;NA;17;19;25
55;NA;17;19;26
56;NA;17;19;27
57;NA;17;19;28
58;NA;18;43;29
59;NA;19;17;30
60;NA;20;38;31
61;Gold;20;38;32
62;Bronze;20;38;33
63;NA;20;38;34
64;Silver;20;40;31
65;Bronze;20;40;32
66;NA;20;40;33
67;NA;20;40;34
68;Silver;20;40;35
69;NA;20;42;31
70;NA;20;42;32
71;NA;20;42;33
72;NA;20;42;35
73;NA;20;44;31
74;Gold;20;44;32
75;NA;20;44;33
76;NA;20;44;34
77;Gold;20;44;35
78;NA;20;46;31
79;Gold;20;46;32
80;Gold;21;47;36
81;NA;22;51;37
82;NA;23;43;38
83;NA;23;45;38
84;NA;24;22;39
85;NA;24;22;40
86;NA;24;24;40
87;Silver;25;7;41
88;NA;26;34;42
89;NA;27;35;43
90;NA;28;27;44
91;NA;28;29;44
92;Bronze;29;37;45
93;Silver;30;41;46
94;NA;30;43;46
95;NA;31;15;47
96;NA;32;6;48
97;NA;33;39;49
98;NA;33;41;49
99;NA;34;49;50
100;NA;35;42;51
101;NA;36;41;52
102;NA;36;41;53
103;NA;36;41;54
104;NA;36;43;52
105;NA;36;43;53
106;Bronze;37;41;55
107;Silver;38;7;41
108;NA;39;6;56
109;NA;39;6;57
110;NA;39;6;58
111;Bronze;40;18;40
112;NA;40;20;40
113;NA;40;20;59
114;Gold;40;22;40
115;NA;40;22;59
116;NA;40;22;60
117;NA;41;7;3
118;Gold;42;6;61
119;NA;43;39;62
120;NA;44;42;11
121;NA;44;42;8
122;NA;44;44;63
123;NA;44;44;8
124;NA;44;44;10
125;NA;45;15;64
126;NA;46;15;65
127;NA;46;17;65
128;NA;46;19;66
129;NA;46;21;66
130;NA;46;23;66
131;NA;47;7;67
132;NA;47;7;68
133;NA;47;9;68
134;NA;47;11;68
135;NA;48;49;69
136;NA;49;45;70
137;NA;49;47;70
138;NA;50;39;71
139;NA;50;41;71
140;NA;51;51;21
141;NA;51;51;23
142;NA;51;51;25
143;NA;51;51;26
144;NA;51;51;27
145;NA;51;51;28
146;NA;52;31;47
147;NA;53;43;72
148;NA;54;17;73
149;NA;55;51;74
150;NA;56;21;75
151;Gold;56;21;76
152;NA;57;37;69
153;NA;58;9;75
154;NA;58;9;76
155;NA;59;21;77
156;NA;59;23;78
157;NA;60;23;78
158;NA;61;23;3
159;Bronze;62;51;79
160;Bronze;63;47;57
161;NA;64;39;80
162;Bronze;65;51;81
163;NA;66;29;82
164;Silver;67;47;70
165;NA;67;49;70
166;NA;68;43;52
167;NA;68;43;54
168;NA;69;47;83
169;NA;70;43;84
170;NA;71;39;85
171;NA;71;39;86
172;NA;72;45;87
173;Gold;72;47;87
174;Gold;73;47;88
175;Gold;73;49;88
176;Silver;73;51;88
177;NA;74;49;89
178;NA;75;45;57
179;Gold;76;43;3
180;NA;77;27;90
181;NA;78;41;91
182;NA;79;9;92
183;Gold;80;41;43
184;NA;81;45;3
185;NA;82;43;93
186;NA;83;39;94
187;Silver;84;45;95
188;NA;85;31;96
189;Gold;85;33;96
190;NA;85;35;96
191;NA;86;33;50
192;Bronze;86;35;50
193;NA;87;25;38
194;NA;88;33;97
195;NA;89;35;98
196;Silver;90;45;99
197;NA;90;45;100
198;NA;91;49;101
199;NA;92;47;3
200;NA;93;45;88
201;Gold;93;47;88
202;NA;94;35;102
203;NA;95;45;103
204;NA;96;45;104
205;NA;97;31;48
206;NA;98;27;56
207;NA;98;27;105
208;NA;98;27;106
209;Silver;99;39;106
210;NA;100;15;107
211;Bronze;100;15;108
212;NA;101;29;109
213;NA;102;7;3
214;NA;102;11;3
215;Bronze;103;15;110
216;NA;104;29;104
217;NA;105;49;111
218;NA;105;51;90
219;Gold;106;37;112
220;Gold;106;41;113
221;Gold;106;43;112
222;Gold;107;35;114
223;Gold;107;37;114
224;Silver;107;39;114
225;NA;107;41;98
226;NA;108;33;114
227;Gold;108;35;114
228;Gold;108;37;114
229;Silver;108;39;114
230;NA;109;31;115
231;NA;109;31;67
232;NA;109;33;115
233;NA;110;51;116
234;NA;111;41;117
235;NA;112;25;77
236;NA;113;45;3
237;NA;114;33;68
238;NA;115;39;115
239;NA;116;23;118
240;NA;116;25;118
241;NA;117;37;116
242;NA;117;37;119
243;NA;118;43;75
244;NA;119;19;84
245;NA;120;45;107
246;NA;121;48;33
247;NA;122;45;78
248;NA;123;43;120
249;NA;123;45;120
250;NA;123;49;120
251;NA;124;19;1
252;NA;125;35;120
253;NA;126;50;121
254;NA;127;45;120
255;NA;127;47;120
256;NA;127;49;120
257;NA;128;49;122
258;NA;129;47;104
259;NA;130;47;123
260;NA;131;43;124
261;NA;132;49;125
262;NA;133;2;21
263;NA;134;43;3
264;NA;135;51;36
265;NA;136;43;1
266;NA;137;24;126
267;NA;137;26;126
268;NA;138;51;127
269;Bronze;139;4;3
270;NA;140;41;44
271;NA;140;43;44
272;NA;141;51;128
273;NA;141;51;129
274;NA;142;11;74
275;Bronze;143;47;120
276;NA;144;47;120
277;NA;145;48;126
278;NA;145;50;126
279;Bronze;145;50;130
280;NA;146;31;86
281;NA;147;41;44
282;NA;148;47;131
283;NA;149;51;132
284;Gold;150;2;133
285;NA;151;2;133
286;NA;152;43;44
287;Silver;153;47;134
288;NA;154;47;135
289;NA;155;43;38
290;NA;155;45;38
291;NA;155;49;136
292;NA;156;47;137
293;NA;157;45;88
294;NA;157;47;88
295;NA;158;47;138
296;NA;159;47;139
297;NA;159;47;140
298;NA;159;49;140
299;NA;160;47;74
300;NA;161;51;137
301;NA;162;39;88
302;NA;162;41;88
303;NA;163;23;21
304;NA;163;23;22
305;NA;163;23;23
306;NA;163;23;24
307;NA;163;23;25
308;NA;163;23;26
309;NA;163;23;27
310;NA;163;23;28
311;NA;164;39;56
312;Silver;165;45;141
313;NA;166;25;142
314;NA;166;29;143
315;NA;167;19;144
316;NA;168;29;104
317;NA;169;35;145
318;NA;170;51;146
319;NA;171;43;137
320;NA;172;43;147
321;NA;173;29;3
322;NA;174;23;3
323;NA;175;19;142
324;NA;176;23;68
325;NA;177;43;75
326;NA;178;23;92
327;NA;178;27;109
328;NA;179;29;148
329;NA;179;29;143
330;NA;180;43;139
331;NA;180;45;139
332;NA;181;43;139
333;NA;182;39;120
334;NA;183;23;98
335;NA;184;45;43
336;NA;185;17;56
337;NA;185;17;105
338;NA;185;17;58
339;NA;185;19;105
340;NA;185;19;58
341;NA;186;23;43
342;NA;187;31;149
343;NA;188;35;137
344;NA;189;27;92
345;NA;190;17;95
346;NA;191;39;3
347;NA;192;29;1
348;NA;193;17;43
349;NA;193;17;107
350;NA;193;17;150
351;NA;193;19;43
352;NA;193;19;107
353;NA;193;23;43
354;NA;194;23;104
355;NA;195;19;151
356;NA;195;23;151
357;NA;196;31;88
358;NA;197;37;152
359;NA;198;47;88
360;NA;199;35;1
361;NA;199;37;1
362;NA;200;39;88
363;NA;201;45;43
364;NA;202;29;1
365;NA;202;31;1
366;NA;203;47;137
367;NA;203;51;137
368;NA;204;41;116
369;NA;205;25;98
370;NA;206;23;43
371;NA;206;25;43
372;NA;207;15;153
373;NA;207;17;57
374;NA;207;17;58
375;NA;207;19;57
376;NA;207;19;58
377;NA;207;19;153
378;NA;207;19;106
379;NA;208;19;111
380;NA;209;23;43
381;NA;210;35;137
382;NA;211;23;105
383;NA;211;25;56
384;NA;211;25;105
385;NA;212;47;154
386;NA;213;47;155
387;NA;213;51;156
388;NA;213;51;155
